"categorieSetId","categorieId","title","categorieSetNumber"
"665","2","Wärmemenge","2.5.2"
"666","NIL","VOID","VOID"
"667","NIL","VOID","VOID"
"668","NIL","VOID","VOID"
"669","NIL","VOID","VOID"
"670","NIL","VOID","VOID"
"671","NIL","VOID","VOID"
"672","NIL","VOID","VOID"
"673","NIL","VOID","VOID"
"674","NIL","VOID","VOID"
"675","NIL","VOID","VOID"
"676","NIL","VOID","VOID"
"677","NIL","VOID","VOID"
"678","NIL","VOID","VOID"
"679","NIL","VOID","VOID"
"680","NIL","VOID","VOID"
"681","NIL","VOID","VOID"
"682","NIL","VOID","VOID"
"683","NIL","VOID","VOID"
"684","NIL","VOID","VOID"
"685","NIL","VOID","VOID"
"686","NIL","VOID","VOID"
"687","NIL","VOID","VOID"
"688","NIL","VOID","VOID"
"689","NIL","VOID","VOID"
"690","NIL","VOID","VOID"
"691","NIL","VOID","VOID"
"692","NIL","VOID","VOID"
"693","NIL","VOID","VOID"
"694","NIL","VOID","VOID"
"695","NIL","VOID","VOID"
"696","NIL","VOID","VOID"
"697","NIL","VOID","VOID"
"698","NIL","VOID","VOID"
"699","NIL","VOID","VOID"
"700","NIL","VOID","VOID"
